model,1m_prompt,1m_completion,comment
chat-bison-32k@002,0.125,0.125
amazon.nova-lite-v1,0.06,0.24
amazon.nova-pro-v1,0.8,3.2
claude-v3-5-sonnet-v1,3,15
claude-v3-5-sonnet-v2,3,15
claude-v3-7-sonnet,3,15
claude-v3-haiku,0.25,1.25
claude-v3-opus,15,75
deephermes-3-llama-3-8b-preview@q8,0.40,0.60, Assuming AWS price for llama-3-instruct-8b
deepseek-chat-v3, 0.27, 1.10
deepseek-reasoner-r1, 0.55, 2.19
deepseek-r1-distill-qwen-14b@q8, 0.05, 0.2, Assuming Alibiba Qwen-Turbo price divided by 2
deepseek-r1-distill-qwen-32b@q4_k_m, 0.05,0.2, Assuming Alibiba Qwen-Turbo price
gemini-1.5-flash-001, 0.07, 0.30
gemini-1.5-pro-preview-0409, 3.50, 10.50, Assumign price for gemini-1.5-pro
gemini-2.0-flash-001,0.10, 0.40
gemini-2.0-flash-exp,0.10, 0.40, Assuming price for gemini-2.0-flash-001
gemini-2.0-flash-lite-001, 0.075, 0.30
gemini-2.0-flash-lite-preview-02-05, 0.075, 0.30, Assuming price for gemini-2.0-flash-lite-001
gemini-2.0-flash-thinking-exp-01-21,0.07, 0.30, Assuming price for gemini-2.0-flash-001
gemini-2.0-flash-thinking-exp-1219,0.07, 0.30, Assuming price for gemini-2.0-flash-001
gemma-2-27b-it@q6_k_l, 0.27, 0.27, Assuming Deepinfra price
gemma-2-9b-it-8bit, 0.03,0.06, Assuming Deepinfra price
gemma2-9b-it-groq, 0.2, 0.2, Assuming Groq price
gpt-35-turbo-0125,0.50,1.50	
gpt-35-turbo-0301,0.50,1.50	
gpt-35-turbo-0613,0.50,1.50	
gpt-35-turbo-1106,0.50,1.50
gpt-4-0613,30.00,60.00	
gpt-4-32k-0613,60.00,120.00
gpt-4-turbo-2024-04-09,10,30
gpt-4o-2024-05-13,5,15
gpt-4o-2024-08-06,5,15
gpt-4o-2024-11-20,5,15
gpt-4o-mini-2024-07-18,0.15,0.60	
