model,1m_prompt,1m_completion,date_released,reasoning_status,comment
claude-3-sonnet,3,15, 2024-03,not_reasoning,
claude-v3-5-sonnet-v1,3,15, 2024-07,not_reasoning,
claude-3-5-sonnet-v1,3,15, 2024-07,not_reasoning,
claude-v3-5-sonnet-v2,3,15, 2024-10,not_reasoning,
claude-3-5-sonnet-v2,3,15, 2024-10,not_reasoning,
anthropic.claude-3-7-sonnet-20250219-v1:0,3,15, 2025-02,not_reasoning,
claude-v3-7-sonnet-thinking,3,15, 2025-02,reasoning,
claude-3-7-sonnet-20250219_thinking_1024, 3, 15, 2025-02,reasoning,
claude-3-7-sonnet-20250219_thinking_5000, 3, 15, 2025-02,reasoning,
claude-3-7-sonnet-20250219_thinking_10000, 3, 15, 2025-02,reasoning,
claude-v3-haiku,0.25,1.25, 2024-03,not_reasoning,
claude-3-5-haiku-20241022,0.25,1.25, 2024-10,not_reasoning,
claude-v3-opus,15,75, 2024-03,not_reasoning,
claude-3-opus,15,75, 2024-03,not_reasoning,
anthropic.claude-v3-5-haiku, 0.8, 4, 2024-10,not_reasoning,
claude-v4-sonnet, 3, 15, 2025-05,not_reasoning,
claude-sonnet-4-20250514, 3, 15, 2025-05,not_reasoning,
claude-v4-sonnet-thinking_16000, 3, 15, 2025-05,reasoning,
claude-sonnet-4-20250514_thinking_16000, 3, 15, 2025-05,reasoning,
claude-sonnet-4-5-20250929_thinking_16000, 3, 15, 2025-09,reasoning,
claude-v4-opus, 15, 75, 2025-05,not_reasoning,
claude-opus-4-20250514, 15, 75, 2025-05,not_reasoning
claude-v4-opus-thinking_16000, 15, 75, 2025-05,reasoning,
claude-opus-4-1-20250805, 15, 75, 2025-08,not_reasoning,
claude-haiku-4-5-20251001_thinking_16000, 1, 5, 2025-10,reasoning,
deephermes-3-llama-3-8b-preview@q8, 0.40, 0.60, 2024-07,not_reasoning,Assuming AWS price for llama-3-instruct-8b
deepseek-chat, 0.27, 1.10, 2024-12,not_reasoning,
deepseek-v3-0324,0.27, 1.10, 2024-12,not_reasoning,
deepseek-chat-0324, 0.27, 1.10, 2025-03,not_reasoning,
deepseek-reasoner, 0.55, 2.19, 2025-01,reasoning,
deepseek-r1,0.55, 2.19, 2025-01,reasoning,
deepseek-r1-distill-qwen-14b@q8_0, 0.05, 0.2, 2025-01,reasoning,Assuming Alibiba Qwen-Turbo price divided by 2
deepseek-r1-distill-qwen-32b@q4_k_m, 0.05,0.2, 2025-01,reasoning,Assuming Alibiba Qwen-Turbo price
gemini-1.5-flash-001, 0.07, 0.30, 2024-05,not_reasoning,
gemini-1.5-pro-preview-0409, 3.50, 10.50, 2024-04,not_reasoning,Assumign price for gemini-1.5-pro
gemini-2.0-flash-001,0.10, 0.40, 2025-02,not_reasoning,
gemini-2.0-flash-exp,0.10, 0.40, 2024-12,not_reasoning,Assuming price for gemini-2.0-flash-001
gemini-2.0-flash-lite-001, 0.075, 0.30, 2025-02,not_reasoning,
gemini-2.0-flash-lite-preview-02-05, 0.075, 0.30, 2025-02,not_reasoning,Assuming price for gemini-2.0-flash-lite-001
